portugues,tupi_antigo
Fi-lo trabalhar (ou Fi-lo estar em ocupação),Aîmoingó-marã
Contar aos homens a futura felicidade deles,Abá supé sekokatusagûama mombe'u
O homem que comete furto de algo,Abá mba'e resé omondarõba'e
Acreditas nos feitiços do pajé?,Ererobîarype paîé îekaraimonhanga?
var de chapéu em forma de cogumelo,akangaoburupé
o que irá para o céu,ybakype soarama
"Hoje, assim, de modo nenhum nos impedem nossa estada","Kori, nã, îandé rekó îandé moarûapa angá"
"Será que estais sossegados, sem mais, com vossos montes de maldades?",Pe apysykĩ serã peîkóbo pe rekomemûã aty-atyra pupé?
Também não pode aquele excomungado miserável ouvir a missa,Nd'e'ikatu béî aîpó i pe'apyra'uba missa renduba resé
"Alguns somente, outrora, morreram meninos",Mbobyrîõ ipó erimba'e kunumĩ kanhemi
Fui defecar,Ka'ape asó
"Vem para destruir o maldito, em seu fogo lançando-o","Eîori, muru mombapa, satápe seîtyka nhẽ"
Deixai de me prantear,Peteumẽ xe rapirõmo
Faço mingau,Aîapó minga'u
"Eis que, na verdade, esse ato é o que tem o dom de nos fazer fracassar",Anhẽ ã aîpó tekó îandé mopanem-y-îara
Descasquei-o,Aîape'ok
Tenho-o no meu pescoço,Xe îuri arekó
Que se acautelem futuramente os habitantes da terra para que não creiam nele,T'onhemosako'i irã yby pora t'ogûerobîar umẽ
Brilhou formosamente,Oberab-aysó
Onde deixou os outros?,Umãmepe amoaé reîari?
Que não vá longe a esposa,T'osó umẽ temirekó kûepe
Peca muito o homem que fica fazendo as pessoas fumarem?,I angaîpabetépe abá oporomopetymbûabo?
Caminhei o dia todo,Agûatá ko'arapukuî
Vim do céu para vos ajudar sempre,Aîur ybaka suí îepi nhẽ pe pytybõmo
Diferenciando-a das outras mulheres,Amõ kunhã suí i moingoébo
"Dizendo, digo asneiras (isto é, quando digo algo, digo asneiras)",A'é tenhẽ marã gûi'îabo
"Filhos de índios, certamente","Abá ra'yra, ipó"
O marido dela não temeu comê-lo,I mena nd'o'u-poûsubi
Para nos ensinar a orar a Deus,Tupã mongetá resé îandé mbo'ebo nhẽ
O que é daqui é este,Ikendûara n'ikó
O diabo te detesta,Anhanga nde momburu
Que eu esteja contigo,T'aîkó nde irũ
"E não confessando ser parente, de fato, de seu marido ou de sua esposa, que acontece?","A'epe o mena koîpó o emirekó mũetéramo sekó mombe'ue'yma, marã?"
"Atravessam suas mãos, assim como seus pés, sobre a cruz pregando meu Senhor","Îaîpó-asá-sá i py resebé, krusá sosé nhẽ xe Îara moîá"
"Neste vale, lugar de choro",Ikó ybytygûaîa îasegûaba pupé
Entrei nos caminhos de fontes,Aîké nhãîmbiara pupé
A aldeia está assentada de comprido,Opukubo taba reni
"Como a gente faz à tarde, antes de dormir?","Marãpe asé rekóû karukeme, o ker-y îanondé?"
Desviei-o comigo,Aropîá
Ainda que somente uma migalha dele a gente come,I kurubipûera anhõte îepé asé o'u
Eu vou só,Ixé anhõ asó
tutano dos ossos,kanga putu'uma
"Aperta a cabeça do maldito, enfraquecendo-o muito","Oîopyk muru akanga, i moatãe'ỹngatûabo"
os dons do Espírito Santo,Espírito Santo remime'enga
Faz água,O'ẽ
pequeno como isto,nãmo-nhõta'ub
"Cantemos um pouquinho, primeiro, para festejar bem o dia","T'îanhe'engá-mirĩ, ranhẽ, 'ara momorãngatûabo"
"a descida dele (pex, de um monte)",serogûeîypaba
Eis que tu mesma me denunciaste,Nde é ã xe kuauká îepé
Trava-me a língua esta fruta,Xe apekũ-mombyk ikó 'ybá
Filho de quem és tu?,Abá ra'yrape nde?
Por isso mesmo repreendeu a seu companheiro,Nd'e'i te'e o apixara akakapa
o que retribui verdadeiramente o amor de Deus a si,Tupã o aûsuba poepykareté
"A mãe de Deus, a que me ameaça","Tupã sy, xe momburûara"
"Mulheres, além de velhos, meninos e até meninas","Kunhã, marandé tunhaba'e, kunumĩ, kunhataĩ tiruã"
"Eis que eu amo vossas almas, aformoseando-as, embelezando-as","Xe ikó asaûsu pe 'anga i moaysóbo, i momoranga"
Regurgitei,Atuî
minhas palavras engasgadas,xe nhe'ẽ-pa'ama
Reunindo seus ossos no chamado Vale de Josafat,I kangûera reŷnhanga ybytygûaîa Îosaphat 'îápe
teus atos recentes,nde rekó-pysasu
"Ainda bem que existes, ó meu senhor!",Aûîebeté ereîkó xe îar-y gûé!
São muitas as grandes igaçabas,Setá nhẽ ygasabusu
Toma-nos a dianteira sempre o diabo,Îandé rokesỹ memẽ anhanga
"Tenhamos as coisas boas, apartando-as do que é torpe",- Îarekó é rakó mba'e-katu i poxyba'e suí i mouruébo
"Eis que era costume, então, batizar",Ã tekó a'ereme moreroka
Santificando-se na pia batismal,Moromoîasukaba pupé onhemongaraípa
Acreditaste nas mentiras de alguém?,Ererobîápe abá remo'ema?
Para a benção também do nosso trabalho,Îandé porabykysaba robasakatûagûama resé bé
Então as estrelas cairão completamente,A'ereme îasytatá o apakuîamo
"Ah, que velhaco!",Angaîpaba maniîabo mã!
"Após lançar fora de seu meio os vícios, o homem não os faz voltar consigo para seu meio, dispersando-os","O koty suí mba'epoxy reîtyk'iré, abá nd'ogûeroîebyri o kotype, i mosãîa"
Eu estou morno,Xe rakubaíb
"Que ouça, então, alguma coisa, para fazer estar bem sua alma",T'oîapysaká a'ereme marã o 'anga moingó-katuagûama resé
Senhor Jesus,Pa'i Îesu
"A morte, na verdade, é a ameaça dos que se casam verdadeiramente",Te'õ a'e mendasareté momboîsabamo
Deus revelar-se-á a mim,Tupã îepîakukari xebene
"rio abaixo, a jusante",y-embykoty
Quase fui,Asosûé
"E os cadáveres da gente, que sucede a eles?","A'epe asé re'õmbûera, marã?"
Estou derrubado,Aîero'ar
Perdoa tu nossas maldades,Nde nhyrõ oré angaîpaba resé
Os que têm a beatitude são os que apaziguam as pessoas,Tekokatueté rerekoara oporomonhyrõba'e
Calcei-me os sapatos,Aîepyapasá-mondeb
Querem afugentar-te,Nde monhegûasẽ-motá
Chamusquei-o,Asereb
Por isso mesmo os escravos festejam este dia,Nd'e'i te'e miasûbetá ikó 'ara momoranga
Deus fez certa mulher bondosa,Tupã amõ kunhãngatu monhangi
Prendi-os um ao lado do outro,O îoybyri aîmoín
Eu também sou um porco,Xe abé taîasugûaîa
"Qual é a causa de nossa alegria, então?",Mba'epe asé moesãîndaba a'ereme?
"Que disse após prová-la (isto é, a bebida)?",Marã e'ipe sa'ang' iré?
Levando uma outra semelhante a ela,Sapixara rerasóbono
"Por isso mesmo agora, sendo dia santo, eles estão felizes","Nd'e'i te'e ko'yr, onhemo'aretébo, og orybamo"
"do lado da superfície de, do lado de fora de (pex, de um vaso, de algo que tenha lado interior e exterior)",i apé koty
Leio-o,Asa'ang
A não ser que Deus não a fizesse estar consigo,Tupã serekó e'ymetemonaémo
"Haveis de bem recobrar o fôlego no futuro, após vos cansardes",Ta pe putu'ẽngatuté irã pe îemokane'õ ré
São muitos os peixes que são gostosos?,Setápe pirá seba'e?
homem ignorante,abá-tekokuabe'yma
Come moderadamente,Nde îanhõte mba'e e'u
Usaste um homem como mulher ou usou-te como mulher um homem?,Ereîmotebirype abá koîpó nde motebirype abá?
Vais em busca de meu pai?,Xe ruba supépe eresó?
Apartaste alguma mulher de seu marido?,Ereîmombo'irype kunhã amõ i mena suí?
"Eu estou-me homiziando, eu estou vivendo fugido",Xe tekoaraibor gûitekóbo
"Tende-o por vontade, tende-o para matá-lo","Perekó potasábo é, perekó i îukábo"
"Que entres em meu coração, guardando meu interior","Xe nhy'ãme t'ereîké, xe py'a moingatûabo"
"Aonde chegaram com Nosso Senhor, finalmente?",Mamõpe gûá Îandé Îara rerosyki ko'yté?
Suo,Xe ryaî
"Atravessando o céu foi, deixando-te","Ybaka rasapa osó, nde reîá"
Vamos ver se fará hoje realmente algum milagre diante de mim,Oîmonhang ipó kori milagre amõ xe robakéne re'a
"Esse somente é, de fato, teu nome?",Aîpó nhõ-pipó nde rera?
"Vem, coisa fedorenta, coisa nojenta, borá!","Eîori, mba'enem, mba'e-poxy, mborá!"
"Ah, tão somente eu, na verdade, sofrerei isto!",Xe nhõngatueté koba'e aîporaráne mã!
Quem mais junto deles foram seus sepultadores?,Abá abépe i pyri i tymbaramo?
"Quem não saberia ter comido algo bom, esquecendo-se da excelência de seu sabor?",Abámo mba'e-katu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?
"De cada dez, repartir uma de nossas coisas com Deus",Opá kombó îabi'õ Tupã supé oîepé asé mba'e moîa'oka
Hoje mesmo os malditos queimam,Oîeí bé muru kaî
"Por isso mesmo veio como precursor de Nosso Senhor, anunciando-o","Nd'e'i te'e oú Îandé Îara renotaramo, i mombegûabo"
Eu sou ladrão,Xe mondá
O sol certamente brilha após passar a grande noite,Kûarasy nipó oberá putunusu kûab'iré
Cheguei (por terra),Agûasem
"Eis que ele, com a mãe de Deus, foi o que criou a Jesus, Deus","A'e niã, Tupã sy irũnamo, Tupã Jesus mongakuasaramo sekóû"
"Eram muitos os que estavam a castigá-lo? -Eram muitos, ficando a revezar-se uns com os outros nisso","-Setápe i nupã-nupãsara? -Setá, sesé oîoporu-porûabo"
Não te denunciarei,Nd'oromombe'uî xóne
Que tenha reparação teu roubo,Ta sepy nde mondagûera
Comeste terra?,Ere'upe yby?
Ó! Não há modo de contar isso,Tó! Aîpó n'i papasabi!
arrancando sua orelha,i nambi mondoka
Vai para trazer um pouco dela,Ekûãî îá reru
Virei-me a cabeça para um e outro lado (dizendo que não queria),Anheakã-mobabak
"Era bela, outrora, Miaí, minha antiga região","I porang, erimba'e, Mia'y, xe retãmbûera"
Os que têm a bem-aventurança são os que têm pena das pessoas,Tekokatu-eté rerekoara i poraûsubaryba'e
Sofre pela gente,Sosang poresé
Jazo de costas,Oatukupepyterybo aîub
"casa que seria, o que seria casa",okambûera
Desfaleceram os maus,Onhemote'õ'a moxy
aldrava da porta,okena potãîa
Alegrando todas as velhas,Gûaibĩ moesãîa mbá
curtinho,asangĩ
"marca de dentes, sinal de dentada",tãî-mbora
Como será que um habitante do inferno viveria neste mundo se Deus o fizesse viver fora dali um mês?,Marãeté'ĩ ra'umope amõ Anhanga ratá pora rekóû ikó 'ara pupé oîepé îasy Tupã ebanoĩ suí o moingobérememo?
Comeste carne no tempo de não a comer?,Ere'upe so'o i gûabe'yma pupé?
Assim ajo conforme meu pai,Xe ruba rupi é emonã aîkó
"Atravessei-o, sem mais (sem entrar nem pousar)",Asasá-benhẽ
Assento a vila de comprido,Opukubo taba amoín
casa de telha,kamusy-oka
tirante a vermelho,pyrã-mbyryb
Lambi-o,Asereb
Fiz preparativos para receber o inimigo,Anhemosako'i tobaîara resé
Achegamo-nos um ao outro,Oroîoerobyk
o que é cabeçudo (como o virote),i apytagûaba'e
Sendo também odiados,Seroŷrõmbyramo oîkóbo bé
Eu sou semelhante aos selvagens,Xe rapixá saraûaîa
Haveis de bem recobrar o fôlego após vos cansardes,Ta pe putuẽngatuté irã pe îemokane'õ ré
"Está molestando as pessoas, fazendo-as cair em erro","oporomoaîu oîkóbo, oporomotekokuabe'yma"
Flechei-os todos,Aîybõ-mbá
Parece flutuar,Obebuî-berame'ĩ
"Tu te permitiste cobri-la, sendo tua parenta?",Ereîeîopyk-ukarype nde maranungaramo?
"Chorai continuamente, pranteando vossos pecados","Pe resangá, pe angaîpaba rapirõmo"
Torrei-o,Asa'embé
"Por isso mesmo as malditas correm, insultando-se muito umas às outras",Nd'e'i te'e moxy onhana oîoa'o-marangatûabo
"Desejando ardentemente ver o nenenzinho, vim de minha casa","Pitangĩ repîaka'upa, aîur xe roka suí"
Parti-o pelo meio,Oîopytera rupi aîasy'ab
Eu tenho terçol,Xe ropepirekó
Maltrato-o,Arekomarã
A bondade de sua vida em mim se fortaleça,Sekopûera angaturama xe resé t'oîeratã
"Ah, oxalá futuramente eu seja um pouquinho melhor!",Xe angaturã be'ĩ temõ erimba'e mã!
"O próprio céu é o que Deus prepara para nós, lugar em que bem coloca nossa felicidade futura","Ybaka aé Tupã îandé resé i nhemosako'îaba, îandé mba'ekaturama nongatûaba re'a"
"Aimbirê, vem diante de mim! Apressa-te!","Aîmbiré, eîori xe robaké! Nde apûan!"
Caiu-me uma tormenta,O'ar yaíba ixébo
Eu tenho usagre,Xe 'apiraíb
"Eia, que estejais alegres","Pene'ĩ, ta pe rory"
"Os bem-aventurados e os santos no céu, que vêem a Deus, ultrapassam o número dos dias que o ano tem",Marangatuba'e santos ybakype Tupã repîakaretá osasá 'ara ro'y remierekó papasaba
Nesta noite tomou início,Kó pytuna ri sy-ari
Fiei o algodão,Aamynyîu-poban
"a vida que não acabará (isto é, a vida eterna)",tekobé opaba'erame'yma
Morro com virtude,Aromanõ tekokatu
Detestando-os mais que tudo o que deve ser lamentado e o que se deve detestar neste mundo,"Seroŷrõmo opakatu ikó 'ara pupé i moasypyra, seroŷrõmbyra sosé"
"Ao comer junto dos seus discípulos, o pão devolveu como seu corpo (Ar, Cat, 5) Kapi'ĩ sosé kó tuî, tapi'irusu karûápe - Eis que sobre o capim ele está deitado, no lugar em que a vaca come","Gûemimbo'e pyri o karûápe, miapé moîebyû gûetéramo"
Deste as coisas sumidas que tu achaste para seu dono?,Ereîme'engype mba'e-kanhema nde basemagûera i îara supé?
"roçado antigo, onde o mato cresceu de novo",kopûera
além das montanhas,ybytyra amongoty
"Quem, hoje, é como eu?",Abápe kori xe îá?
"Mudaste, por acaso?",Ereîakasó-piang?
"Vem, coisa fedorenta!","Eîori, mba'e-nem!"
reflexo ou resplendor do mar,paranãendy
o que está no mar,paranã pora
"Saiu para o pátio, chorando muito dolorosamente","Osem okarype, oîase'o-asy-katûabo"
"Entrando nos seus antigos corpos, fazendo-os levantar imediatamente","Ogûetepûera pupé oîkŷabo, i mopu'ama kûeîeténe"
Permaneço seu guardião,Aîkobé n'ixé sarõana
Escondo-me bem,Aîemĩngatu
Não comas este fruto que me é reservado,E'u umẽ ikó 'ybá xe rekoate'ỹmbaba
Maravilhou-te a vista de homens belos?,Nde angerasópe abá-porangepîaka?
"Comedor deles, sobram-me sauiás, causa das caçadas","I gûara, îeporakaba, xe resemõ saûîá"
o limiar da porta,okena robapy
Que pesa mais ao que está ali do que tudo o que sofre?,Mba'epe sasyeté a'epe tekoara supé opakatu semiporará sosé?
"Eu mesmo sou quem o queimou, no tempo em que ele vivia","Ixé aé sapysarûera, sekobeaba resé"
Dentro de nosso coração colocando sua lei,Îandé py'a pupé sekó mondepa
Ameacei-o,Aropu'am
"São Sebastião destruiu os tamoios, os valentes","São Sebastião tamũîa, kyre'ymbagûera, omombab erimba'e"
Deus-Pai,Tupã Tuba
"Eu vim do rio dos paratis para ver a mãe de Deus, ficando a enfeitar-me","Xe Parati 'y suí aîu Tupã sy repîaka, gûinhemoîegûá-îegûaka"
Eu caí de sono,Xe ker-aparar
Deseja ardentemente ver o nascimento de seu filho,O membyra 'arama osepîaka'ub
Deus o tomou,Tupã tari
"Amo-a, por ela tendo cuidado","Asaûsu, sesé gûinhemoryryîa"
"o sem-orelhas, coisa mocha",nambie'yma
convés da embarcação,ygara rokabytera
Eu tenho as cavidades dos olhos encovadas,Xe resakûá-rorẽ
Vou com Pedro,Orosó Pedro pabẽ
"Que amemos nosso pai, nosso verdadeiro criador","T'orosaûsu îandé ruba, îandé monhangareté"
"É visto, com efeito, que ela conserva a incorruptibilidade dos cadáveres daqueles",Sepîakypyra niã aîpoba'e re'ombûera o marane'yma rerekó
ao longo dos dias,ara rupi
Passo jenipapo nele,passo jenipapo Aîîanypá-mongy
É muito medonho o diabo?,I abaeté-katupe Anhanga?
Apenas não me matou o terror ao nome da mãe de Deus,Sãî xe îukae'ymi Tupã sy rera abaîté
Homem coitadinho,Abá-poreaûsubĩ
O julgamento de Deus de nós,Tupã asé rekokuapaba
Fui ao caminho dele,Asapependûar
Desenrolei-o,Aîorab
Lembra-te bem de que morreu por tua causa,Nde ma'enduá-katu nde resé se'õagûera resé
Eu tenho a carne trêmula,Xe ro'o-sysyî
Ainda bem que Deus me livrou do diabo!,Aûîeteramo rimba'e Tupã xe pysyrõ Anhanga suí re'a
"o fujão, o que tem costume de fugir",kanhembora
Estou como mensageiro,Paresaramo aîkó
Trato-o como se fosse meu filho,Xe ra'yra berame'ĩ arekó
"Faço-me estalar as mãos (isto é, dou castanhetas)",Aîepó-mopuruk
"Que eu não adoeça, comendo-o",Ta xe maran umẽ i gûabo
Eu me escafedo ao ir,Xe rembykãî gûixóbo
Firmei-o comigo,Aroten
Lamenta-te!,Eîeapirõ!
Dou roça a Pedro,Aîkó-me'eng Pedro
de que lugar?,manõîa suípe?
"Sobra-me dinheiro, certamente",Xe resemõ îepé itaîuba
"Morro falsamente, isto é, desmaio, desfaleço",Amanõ-aíb
porto das canoas,ygara îepotasatyba
Quantas vezes te confessaste ou comungaste?,Mobype erenhemombe'u koîpó eretupãar?
corpo morto de peixe,pirá re'õmbûera
Ser cordato com um pequeno proceder no mal de alguém,Abá marã sekoagûerĩ resé nherane'yma
É o que deve ser expulso da igreja,Tupãoka suí i mosemymbyra
"Nunca acaba de comer, não come fulano completamente as coisas",Nd'o'u-apyî ahẽ mba'e
Ergui a espinhela,Aîpusû'ã-mogûyr
tempo de rogar a Deus pelas almas,angûera resé Tupã mongetasagûama
vagem cheia,Topé-pungá
"Que venha logo o que me guarda para me livrar dele, combatendo-o","T'oú taûîé xe rarõana xe pysyrõmo i xuí, i momarana!"
Fiquei-o simulando,Aîmorã-moran
"Jogou o pagamento por seu senhor no templo, indo finalmente enforcar-se",O îara repypûera reîtyki Tupãokype aûîé osóbo oîeaîubyka
"Eia, hei de ir contigo","Ne'ĩ, t'asó nde irũmo"
Confiando na formosura de muitos de si,O matueté aysó resé é oîerobîá
Por ser Nosso Senhor Jesus Cristo o que tira os pecados,Tekoangaîpabokaramo Îandé Îara Îesu Cristo rekóreme
Segui pelo mar (em navio) 'Y rupi agûatá - Andei pelo rio (de barco),Paranã rupi agûatá
"Batendo sem motivo na tua esposa, tratando-a sempre como objeto maldito de pancada","Nde remirekó resé epûá tenhẽmo, mûasá-mbururamo serekóbo îepi"
Sentir o toque nas coisas,Mba'e resé mokoka anduba
Mostram-se a urdir mentiras,E'i mo'ema monhanga
"E as grávidas ao quererem beber água, que acontece?",A'epe muru'apora 'y 'useîtápe marã?
"São muitos os não conhecidos que Deus somente, o criador deles, conhece",Se'yî i kuabypyre'yma Tupã i monhangara remingûaba nhõ
medroso,sykyîebora
"Assassinaste gente após acabar a guerra, matando prisioneiros?","Ereporapitipe marana pab'iré, mbiarûera nhẽ îukábo?"
Enquanto houver o mundo o homem a bendirá?,Ara rekó pukuîpe abá i mombe'ukatune?
Acenaste com a cabeça para alguma mulher?,Ereîe'aîtykype kunhã amõ supé?
Não ficou ninguém no lugar da batalha,N'opytáî amõ abá maranápe
"Atrás de uma cerca feita de pedras, tomou a casa dos animais de criação como sua pousada",Ybyrá itá monhangymbyra kupépe so'o mimbaba roka ogûar og upabamo
"Para onde Pilatos retirou-o, então?",Mamõpe Pilatos senosemi a'ereme?
